2018-09-09 21:37:55 INFO  SparkContext:54 - Running Spark version 2.2.0
2018-09-09 21:37:56 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-09-09 21:37:56 INFO  SparkContext:54 - Submitted application: motels-home-recommendation
2018-09-09 21:37:56 INFO  SecurityManager:54 - Changing view acls to: serez
2018-09-09 21:37:56 INFO  SecurityManager:54 - Changing modify acls to: serez
2018-09-09 21:37:56 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-09-09 21:37:56 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-09-09 21:37:56 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(serez); groups with view permissions: Set(); users  with modify permissions: Set(serez); groups with modify permissions: Set()
2018-09-09 21:37:57 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 51184.
2018-09-09 21:37:57 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-09-09 21:37:57 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-09-09 21:37:57 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-09-09 21:37:57 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-09-09 21:37:57 INFO  DiskBlockManager:54 - Created local directory at C:\Users\serez\AppData\Local\Temp\blockmgr-242bfa36-5bb2-4e36-b78f-6ee776132d20
2018-09-09 21:37:57 INFO  MemoryStore:54 - MemoryStore started with capacity 1994.1 MB
2018-09-09 21:37:57 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-09-09 21:37:57 INFO  log:192 - Logging initialized @2641ms
2018-09-09 21:37:57 INFO  Server:345 - jetty-9.3.z-SNAPSHOT
2018-09-09 21:37:57 INFO  Server:403 - Started @2704ms
2018-09-09 21:37:57 INFO  AbstractConnector:270 - Started ServerConnector@30ea8c23{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-09-09 21:37:57 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@60d8c0dc{/jobs,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@33352f32{/jobs/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1e044120{/jobs/job,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@35fe2125{/jobs/job/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@34645867{/stages,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@60b71e8f{/stages/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@464649c{/stages/stage,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@47da3952{/stages/stage/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@46e8a539{/stages/pool,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5fd62371{/stages/pool/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2b62442c{/storage,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@841e575{/storage/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1e5f4170{/storage/rdd,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6b5966e1{/storage/rdd/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1568159{/environment,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6f80fafe{/environment/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@f9879ac{/executors,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5f4d427e{/executors/json,null,AVAILABLE,@Spark}
2018-09-09 21:37:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@224b4d61{/executors/threadDump,null,AVAILABLE,@Spark}
